HACKERTYPER492	1.19	1.451	1.91	2.218	NA	NA	2.567	4.902	5.36	6.311	6.743	NA	381.676	9.874	12.584	14.759	16.717	18.878	NA	35.601	48.061	NA	NA	60.951	NA	NA	107.242	NA	NA	410.771	1161
JUG	1.223	1.497	2.043	2.186	24.095	117.093	3.791	5.37	6.378	7.564	7.991	85.055	368.82	7.398	12.103	18.195	19.6	20.848	26.463	32.399	38.121	43.147	71.695	66.046	75.795	153.142	125.63	136.181	180.966	255.79	1065
TERI	1.162	1.508	1.883	1.995	30.303	NA	2.527	4.385	5.599	6.736	6.926	NA	NA	6.744	18.639	NA	NA	NA	33.863	NA	NA	NA	NA	NA	NA	NA	213.47	NA	NA	NA	901
SHYGUY1265	1.506	1.728	2.203	2.296	42.159	NA	3.263	6.14	6.674	7.601	7.916	128.878	435.514	9.735	11.879	15.569	17.389	19.058	30.287	28.287	35.748	37.039	92.23	54.639	65.884	156.797	76.607	82.76	138.558	152.878	869
ISLAMKITIEV	1.034	2.03	1.859	2.003	NA	133.72	3.87	5.152	6.371	6.995	7.152	174.548	399.739	7.804	12.552	15.547	15.836	25.702	35.463	27	32.263	35.181	84.726	58.143	72.974	171.508	116.532	NA	195.333	257.113	808
VERSCUP	0.967	1.59	1.96	2.053	29.032	NA	2.624	5.429	6.28	6.914	7.249	NA	490.187	10.103	12.072	17.096	17.925	25.353	24.968	35.224	51.935	NA	NA	63.991	76.306	NA	148.735	NA	NA	364.657	801
CHY	1.233	1.632	1.962	2.032	NA	NA	3.511	4.983	6.039	6.964	7.19	NA	NA	NA	10.135	15.076	16.201	NA	NA	23.302	31.118	NA	NA	55.181	NA	NA	85.084	NA	123.282	213.215	750
IMVELOX	1.327	1.86	2.174	2.298	35.102	242.535	2.559	5.684	6.962	7.542	7.934	126.511	NA	10.925	11.621	16.22	17.202	20.738	31.463	24.65	36.017	42.897	139.255	51.479	65.524	172.696	115.84	NA	214.006	197.233	651
CREEPYCAT18	1.584	1.928	2.241	2.297	26.03	143.7	3.949	5.461	6.738	7.501	7.633	79.993	367.684	7.508	12.937	16.39	18.8	22.195	30.283	33.243	37.938	41.85	111.373	68.653	NA	NA	193.813	NA	639.012	291.775	627
RAFAEL	1.673	2.096	2.445	2.567	37.195	174.951	4.3	6.405	7.428	8.328	8.594	90.345	412.542	8.994	12.856	17.24	18.084	19.246	26.181	27.488	34.66	36.262	74.948	54.853	59.946	151.718	101.291	115.69	178.536	267.404	625
TIANXING	1.477	1.787	2.219	2.636	NA	NA	2.565	5.179	5.832	6.612	7.632	NA	NA	NA	13.403	17.638	20.709	NA	NA	NA	NA	NA	NA	81.568	83.88	NA	127.572	NA	NA	NA	594
BILLABOB	1.412	1.536	2.886	1.992	NA	NA	3.034	5.099	6.159	6.801	7.048	NA	NA	NA	14.908	17.312	20.179	20.954	NA	40.084	53.553	NA	NA	65.657	80.775	NA	NA	NA	NA	NA	568
XMENG	1.114	NA	NA	NA	23.848	NA	2.903	4.909	5.627	NA	NA	NA	NA	9.216	9.776	NA	NA	NA	NA	30.191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	540
SKYSTEP	1.711	2.339	2.592	2.819	27.26	159.513	4.551	6.805	7.519	8.767	8.966	86.817	367.212	8.836	12.644	16.882	17.743	20.249	28.409	29.942	45.644	48.021	62.13	60.764	67.252	133.298	124.417	NA	194.031	NA	520
JULY2ND	1.337	1.787	2.097	2.302	29.693	142.248	3.324	5.419	6.16	7.124	7.322	99.876	NA	7.19	13.783	18.168	19.168	21.182	31.143	42.271	50.798	NA	NA	NA	NA	NA	242.53	NA	NA	344.211	511
IANWUBBY	1.295	1.982	2.301	2.354	102.468	NA	4.781	6.522	7.646	8.407	8.605	NA	NA	12.974	16.648	19.298	20.588	22.897	NA	36.366	39.405	41.921	NA	57.515	67.978	NA	94.206	105.331	NA	183.706	385
REALMDCRP	1.646	1.967	2.457	2.666	45.331	NA	4.475	6.474	6.859	7.847	8.583	122.343	548.62	11.692	15.255	18.708	19.408	NA	32.635	31.803	36.926	NA	NA	58.44	64.867	NA	94.987	102.28	238.078	222.578	375
ZIJIE123	1.515	1.717	2.284	2.385	36.945	NA	4.343	5.792	6.501	7.311	7.685	NA	NA	10.035	14.015	16.595	19.133	23.01	39.437	39.577	50.904	NA	NA	67.716	89.825	207.93	105.087	115.573	NA	318.077	359
GOODEVENING	1.548	2.003	2.358	2.563	30.294	161.732	4.495	6.954	7.699	8.684	8.863	104.973	482.492	9.272	16.031	20.278	21.726	24.602	31.614	39.118	47.198	49.507	98.674	68.397	74.404	180.131	107.193	184.471	198.373	258.985	358
CSL	1.68	1.899	2.589	2.758	NA	155.989	3.629	6.431	7.836	9.221	9.518	NA	457.008	8.19	12.78	18.434	20.28	NA	30.101	29.63	39.725	NA	NA	66.475	75.399	169.936	157.911	NA	224.265	265.062	355
